num_regions: 500
region117: [[-5.15, 0.3, -0.75], [-5.55, 0.3, -0.75], [-5.55, -0.1, -0.75], [-5.15, -0.1, -0.75]]
region118: [[-5.55, 0.3, -0.75], [-5.95, 0.3, -0.75], [-5.95, -0.1, -0.75], [-5.55, -0.1, -0.75]]
region119: [[-5.95, 0.3, -0.75], [-6.35, 0.3, -0.75], [-6.35, -0.1, -0.75], [-5.95, -0.1, -0.75]]
region120: [[1.65, 0.7, -0.75], [1.25, 0.7, -0.75], [1.25, 0.3, -0.75], [1.65, 0.3, -0.75]]
region121: [[1.25, 0.7, -0.75], [0.85, 0.7, -0.75], [0.85, 0.3, -0.75], [1.25, 0.3, -0.75]]
region122: [[0.85, 0.7, -0.75], [0.45, 0.7, -0.75], [0.45, 0.3, -0.75], [0.85, 0.3, -0.75]]
region123: [[0.45, 0.7, -0.75], [0.05, 0.7, -0.75], [0.05, 0.3, -0.75], [0.45, 0.3, -0.75]]
region124: [[0.05, 0.7, -0.75], [-0.35, 0.7, -0.75], [-0.35, 0.3, -0.75], [0.05, 0.3, -0.75]]
region125: [[-0.35, 0.7, -0.75], [-0.75, 0.7, -0.75], [-0.75, 0.3, -0.75], [-0.35, 0.3, -0.75]]
region126: [[-0.75, 0.7, -0.75], [-1.15, 0.7, -0.75], [-1.15, 0.3, -0.75], [-0.75, 0.3, -0.75]]
region127: [[-1.15, 0.7, -0.75], [-1.55, 0.7, -0.75], [-1.55, 0.3, -0.75], [-1.15, 0.3, -0.75]]
region128: [[-1.55, 0.7, -0.75], [-1.95, 0.7, -0.75], [-1.95, 0.3, -0.75], [-1.55, 0.3, -0.75]]
region129: [[-1.95, 0.7, -0.75], [-2.35, 0.7, -0.75], [-2.35, 0.3, -0.75], [-1.95, 0.3, -0.75]]
region130: [[-2.35, 0.7, -0.75], [-2.75, 0.7, -0.75], [-2.75, 0.3, -0.75], [-2.35, 0.3, -0.75]]
region131: [[-2.75, 0.7, -0.75], [-3.15, 0.7, -0.75], [-3.15, 0.3, -0.75], [-2.75, 0.3, -0.75]]
region132: [[-3.15, 0.7, -0.75], [-3.55, 0.7, -0.75], [-3.55, 0.3, -0.75], [-3.15, 0.3, -0.75]]
